,Név,Típus,Megye,Kistérség,Nép.,Irsz.
0,Aba,város,Fejér,Abai,4574,8127
1,Abádszalók,város,Jász-Nagykun-Szolnok,Tiszafüredi,4677,5241
2,Abaliget,község,Baranya,Pécsi,637,7678
3,Abasár,község,Heves,Gyöngyösi,2665,3261
4,Abaújalpár,község,Borsod-Abaúj-Zemplén,Encsi,96,3882
5,Abaújkér,község,Borsod-Abaúj-Zemplén,Encsi,677,3882
6,Abaújlak,község,Borsod-Abaúj-Zemplén,Szikszói,113,3815
7,Abaújszántó,város,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,3407,3881
8,Abaújszolnok,község,Borsod-Abaúj-Zemplén,Szikszói,157,3809
9,Abaújvár,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,330,3898
10,Abda,község,Győr-Moson-Sopron,Győri,3061,9151
11,Abod,község,Borsod-Abaúj-Zemplén,Edelényi,285,3753
12,Abony,város,Pest,Ceglédi,15814,2740
13,Ábrahámhegy,község,Veszprém,Tapolcai,501,8256
14,Ács,város,Komárom-Esztergom,Komáromi,7255,2941
15,Acsa,község,Pest,Váci,1571,2683
16,Acsád,község,Vas,Szombathelyi,661,9746
17,Acsalag,község,Győr-Moson-Sopron,Csornai,482,9168
18,Ácsteszér,község,Komárom-Esztergom,Kisbéri,768,2887
19,Adács,község,Heves,Gyöngyösi,3794,3292
20,Ádánd,község,Somogy,Siófoki,2416,8653
21,Adásztevel,község,Veszprém,Pápai,874,8561
22,Adony,város,Fejér,Adonyi,3839,2457
23,Adorjánháza,község,Veszprém,Ajkai,471,8497
24,Adorjás,község,Baranya,Sellyei,188,7841
25,Ág,község,Baranya,Sásdi,206,7381
26,Ágasegyháza,község,Bács-Kiskun,Kecskeméti,1933,6076
27,Ágfalva,község,Győr-Moson-Sopron,Sopron–Fertődi,1951,9423
28,Aggtelek,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,628,3759
29,Agyagosszergény,község,Győr-Moson-Sopron,Kapuvári,938,9441
30,Ajak,város,Szabolcs-Szatmár-Bereg,Kisvárdai,3952,4524
31,Ajka,város,Veszprém,Ajkai,31649,8400
32,Aka,község,Komárom-Esztergom,Kisbéri,291,2862
33,Akasztó,község,Bács-Kiskun,Kiskőrösi,3483,6221
34,Alacska,község,Borsod-Abaúj-Zemplén,Miskolci,877,3779
35,Alap,község,Fejér,Sárbogárdi,2143,7011
36,Alattyán,község,Jász-Nagykun-Szolnok,Jászberényi,2035,5142
37,Albertirsa,város,Pest,Ceglédi,11615,2730
38,Alcsútdoboz,község,Fejér,Bicskei,1504,8087
39,Aldebrő,község,Heves,Füzesabonyi,2178,3353
40,Algyő,nagyközség,Csongrád,Szegedi,5326,6750
41,Alibánfa,község,Zala,Zalaegerszegi,480,8921
42,Almamellék,község,Baranya,Szigetvári,496,7934
43,Almásfüzitő,község,Komárom-Esztergom,Komáromi,2369,2931
44,Almásháza,község,Zala,Zalaszentgróti,57,8935
45,Almáskamarás,község,Békés,Mezőkovácsházi,989,5747
46,Almáskeresztúr,község,Baranya,Szigetvári,87,7932
47,Álmosd,község,Hajdú-Bihar,Derecske–Létavértesi,1673,4285
48,Alsóberecki,község,Borsod-Abaúj-Zemplén,Bodrogközi,861,3985
49,Alsóbogát,község,Somogy,Kaposvári,300,7443
50,Alsódobsza,község,Borsod-Abaúj-Zemplén,Szerencsi,393,3717
51,Alsógagy,község,Borsod-Abaúj-Zemplén,Encsi,108,3837
52,Alsómocsolád,község,Baranya,Sásdi,331,7345
53,Alsónána,község,Tolna,Szekszárdi,728,7147
54,Alsónémedi,nagyközség,Pest,Gyáli,4783,2351
55,Alsónemesapáti,község,Zala,Zalaegerszegi,751,8924
56,Alsónyék,község,Tolna,Szekszárdi,821,7148
57,Alsóörs,község,Veszprém,Balatonalmádi,1335,8226
58,Alsópáhok,község,Zala,Keszthely–Hévízi,1254,8394
59,Alsópetény,község,Nógrád,Rétsági,752,2617
60,Alsórajk,község,Zala,Nagykanizsai,416,8767
61,Alsóregmec,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,220,3989
62,Alsószenterzsébet,község,Zala,Lenti,92,8973
63,Alsószentiván,község,Fejér,Sárbogárdi,682,7012
64,Alsószentmárton,község,Baranya,Siklósi,1119,7826
65,Alsószölnök,község,Vas,Szentgotthárdi,418,9983
66,Alsószuha,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,520,3726
67,Alsótelekes,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,148,3735
68,Alsótold,község,Nógrád,Pásztói,268,3069
69,Alsóújlak,község,Vas,Vasvári,621,9842
70,Alsóvadász,község,Borsod-Abaúj-Zemplén,Szikszói,1551,3811
71,Alsózsolca,város,Borsod-Abaúj-Zemplén,Miskolci,6190,3571
72,Ambrózfalva,község,Csongrád,Makói,545,6916
73,Anarcs,község,Szabolcs-Szatmár-Bereg,Kisvárdai,2010,4546
74,Andocs,község,Somogy,Tabi,1193,8675
75,Andornaktálya,község,Heves,Egri,1675,3399
76,Andrásfa,község,Vas,Vasvári,287,9811
77,Annavölgy,község,Komárom-Esztergom,Dorogi,983,2529
78,Apagy,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,2341,4553
79,Apaj,község,Pest,Ráckevei,1287,2345
80,Aparhant,község,Tolna,Bonyhádi,1154,7186
81,Apácatorna,község,Veszprém,Ajkai,185,8477
82,Apátfalva,község,Csongrád,Makói,3323,6931
83,Apátistvánfalva,község,Vas,Szentgotthárdi,400,9982
84,Apátvarasd,község,Baranya,Pécsváradi,134,7720
85,Apc,község,Heves,Hatvani,2046,3032
86,Áporka,község,Pest,Ráckevei,1165,2338
87,Apostag,község,Bács-Kiskun,Kunszentmiklósi,2083,6088
88,Aranyosapáti,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,2144,4634
89,Aranyosgadány,község,Baranya,Pécsi,363,7671
90,Arka,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,113,3885
91,Arló,nagyközség,Borsod-Abaúj-Zemplén,Ózdi,4199,3663
92,Arnót,község,Borsod-Abaúj-Zemplén,Miskolci,2571,3713
93,Ároktő,község,Borsod-Abaúj-Zemplén,Mezőcsáti,1223,3467
94,Árpádhalom,község,Csongrád,Szentesi,602,6623
95,Árpás,község,Győr-Moson-Sopron,Téti,281,9132
96,Ártánd,község,Hajdú-Bihar,Berettyóújfalui,598,4115
97,Ásotthalom,nagyközség,Csongrád,Mórahalmi,4191,6783
98,Ásványráró,község,Győr-Moson-Sopron,Mosonmagyaróvári,1989,9177
99,Aszaló,község,Borsod-Abaúj-Zemplén,Szikszói,2034,3841
100,Ászár,község,Komárom-Esztergom,Kisbéri,1610,2881
101,Aszód,város,Pest,Aszódi,6026,2170
102,Aszófő,község,Veszprém,Balatonfüredi,357,8241
103,Áta,község,Baranya,Pécsi,230,7763
104,Átány,község,Heves,Hevesi,5044,3371
105,Atkár,község,Heves,Gyöngyösi,3376,3213
106,Attala,község,Tolna,Dombóvári,892,7252
107,Babarc,község,Baranya,Mohácsi,811,7757
108,Babarcszőlős,község,Baranya,Siklósi,141,7814
109,Babócsa,község,Somogy,Barcsi,1853,7584
110,Bábolna,város,Komárom-Esztergom,Komáromi,3921,2943
111,Bábonymegyer,község,Somogy,Tabi,915,8658
112,Babosdöbréte,község,Zala,Zalaegerszegi,485,8983
113,Babót,község,Győr-Moson-Sopron,Kapuvári,1168,9351
114,Bácsalmás,város,Bács-Kiskun,Bácsalmási,7611,6430
115,Bácsbokod,nagyközség,Bács-Kiskun,Bajai,3088,6453
116,Bácsborsód,község,Bács-Kiskun,Bajai,1280,6454
117,Bácsszentgyörgy,község,Bács-Kiskun,Bajai,190,6511
118,Bácsszőlős,község,Bács-Kiskun,Bácsalmási,431,6425
119,Badacsonytomaj,város,Veszprém,Tapolcai,2284,8258
120,Badacsonytördemic,község,Veszprém,Tapolcai,872,8263
121,Bag,nagyközség,Pest,Aszódi,3929,2191
122,Bagamér,nagyközség,Hajdú-Bihar,Derecske–Létavértesi,2449,4286
123,Baglad,község,Zala,Lenti,61,8977
124,Bagod,község,Zala,Zalaegerszegi,1331,8992
125,Bágyogszovát,község,Győr-Moson-Sopron,Csornai,1353,9145
126,Baj,község,Komárom-Esztergom,Tatai,2723,2836
127,Baja,város,Bács-Kiskun,Bajai,38031,6500
128,Bajánsenye,község,Vas,Őriszentpéteri,558,9944
129,Bajna,község,Komárom-Esztergom,Dorogi,2032,2525
130,Bajót,község,Komárom-Esztergom,Esztergomi,1494,2533
131,Bak,község,Zala,Zalaegerszegi,1784,8945
132,Bakháza,község,Somogy,Nagyatádi,250,7585
133,Bakóca,község,Baranya,Sásdi,342,7393
134,Bakonszeg,község,Hajdú-Bihar,Berettyóújfalui,1256,4164
135,Bakonya,község,Baranya,Pécsi,401,7675
136,Bakonybánk,község,Komárom-Esztergom,Kisbéri,521,2885
137,Bakonybél,község,Veszprém,Zirci,1445,8427
138,Bakonycsernye,község,Fejér,Móri,3179,8056
139,Bakonygyirót,község,Győr-Moson-Sopron,Pannonhalmi,180,8433
140,Bakonyjákó,község,Veszprém,Pápai,690,8581
141,Bakonykoppány,község,Veszprém,Pápai,228,8571
142,Bakonykúti,község,Fejér,Móri,106,8046
143,Bakonynána,község,Veszprém,Zirci,1062,8422
144,Bakonyoszlop,község,Veszprém,Zirci,557,8418
145,Bakonypéterd,község,Győr-Moson-Sopron,Pannonhalmi,301,9088
146,Bakonypölöske,község,Veszprém,Ajkai,421,8457
147,Bakonyság,község,Veszprém,Pápai,105,8557
148,Bakonysárkány,község,Komárom-Esztergom,Kisbéri,973,2861
149,Bakonyszentiván,község,Veszprém,Pápai,254,8557
150,Bakonyszentkirály,község,Veszprém,Zirci,917,8430
151,Bakonyszentlászló,község,Győr-Moson-Sopron,Pannonhalmi,1936,8431
152,Bakonyszombathely,község,Komárom-Esztergom,Kisbéri,1513,2884
153,Bakonyszücs,község,Veszprém,Pápai,376,8572
154,Bakonytamási,község,Veszprém,Pápai,699,8555
155,Baks,község,Csongrád,Kisteleki,2294,6768
156,Baksa,község,Baranya,Pécsi,765,7834
157,Baktakék,község,Borsod-Abaúj-Zemplén,Encsi,738,3836
158,Baktalórántháza,város,Szabolcs-Szatmár-Bereg,Baktalórántházai,4309,4561
159,Baktüttös,község,Zala,Zalaegerszegi,364,8946
160,Balajt,község,Borsod-Abaúj-Zemplén,Edelényi,441,3780
161,Balassagyarmat,város,Nógrád,Balassagyarmati,17664,2660
162,Balástya,község,Csongrád,Kisteleki,3624,6764
163,Balaton,község,Heves,Bélapátfalvai,1320,3347
164,Balatonakali,község,Veszprém,Balatonfüredi,743,8243
165,Balatonalmádi,város,Veszprém,Balatonalmádi,8542,8220
166,Balatonberény,község,Somogy,Fonyódi,1210,8649
167,Balatonboglár,város,Somogy,Fonyódi,6055,8630
168,Balatoncsicsó,község,Veszprém,Balatonfüredi,169,8272
169,Balatonederics,község,Veszprém,Tapolcai,1096,8312
170,Balatonendréd,község,Somogy,Siófoki,1403,8613
171,Balatonfenyves,község,Somogy,Fonyódi,1886,8646
172,Balatonfőkajár,község,Veszprém,Balatonalmádi,1465,8164
173,Balatonföldvár,város,Somogy,Balatonföldvári,2091,8623
174,Balatonfüred,város,Veszprém,Balatonfüredi,13265,8230
175,Balatonfűzfő,város,Veszprém,Balatonalmádi,4223,8175
176,Balatongyörök,község,Zala,Keszthely–Hévízi,904,8313
177,Balatonhenye,község,Veszprém,Tapolcai,152,8275
178,Balatonkenese,város,Veszprém,Balatonalmádi,3378,8174
179,Balatonkeresztúr,község,Somogy,Fonyódi,1603,8648
180,Balatonlelle,város,Somogy,Fonyódi,5017,8638
181,Balatonmagyaród,község,Zala,Nagykanizsai,523,8753
182,Balatonmáriafürdő,község,Somogy,Fonyódi,580,8647
183,Balatonőszöd,község,Somogy,Balatonföldvári,535,8637
184,Balatonrendes,község,Veszprém,Tapolcai,141,8255
185,Balatonszabadi,község,Somogy,Siófoki,2895,8651
186,Balatonszárszó,nagyközség,Somogy,Balatonföldvári,2027,8624
187,Balatonszemes,község,Somogy,Balatonföldvári,1774,8636
188,Balatonszentgyörgy,község,Somogy,Fonyódi,1673,8710
189,Balatonszepezd,község,Veszprém,Balatonfüredi,414,8252
190,Balatonszőlős,község,Veszprém,Balatonfüredi,522,8230
191,Balatonudvari,község,Veszprém,Balatonfüredi,359,8242
192,Balatonújlak,község,Somogy,Marcali,604,8712
193,Balatonvilágos,község,Veszprém,Balatonalmádi,1204,8171
194,Balinka,község,Fejér,Móri,1002,8055
195,Balkány,város,Szabolcs-Szatmár-Bereg,Nagykállói,6768,4233
196,Ballószög,község,Bács-Kiskun,Kecskeméti,2849,6035
197,Balmazújváros,város,Hajdú-Bihar,Balmazújvárosi,18149,4060
198,Balogunyom,község,Vas,Szombathelyi,1193,9771
199,Balotaszállás,község,Bács-Kiskun,Kiskunhalasi,1673,6412
200,Balsa,község,Szabolcs-Szatmár-Bereg,Ibrány–Nagyhalászi,938,4468
201,Bálványos,község,Somogy,Balatonföldvári,566,8614
202,Bana,község,Komárom-Esztergom,Komáromi,1764,2944
203,Bánd,község,Veszprém,Veszprémi,661,8443
204,Bánfa,község,Baranya,Szigetvári,205,7914
205,Bánhorváti,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,1607,3642
206,Bánk,község,Nógrád,Rétsági,682,2653
207,Bánokszentgyörgy,község,Zala,Letenyei,705,8891
208,Bánréve,község,Borsod-Abaúj-Zemplén,Ózdi,1454,3654
209,Bár,község,Baranya,Mohácsi,603,7711
210,Barabás,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,855,4937
211,Baracs,község,Fejér,Dunaújvárosi,3380,2426
212,Baracska,község,Fejér,Ercsi,2709,2471
213,Báránd,község,Hajdú-Bihar,Püspökladányi,2709,4161
214,Baranyahídvég,község,Baranya,Sellyei,234,7841
215,Baranyajenő,község,Baranya,Sásdi,529,7384
216,Baranyaszentgyörgy,község,Baranya,Sásdi,194,7383
217,Barbacs,község,Győr-Moson-Sopron,Csornai,769,9169
218,Barcs,város,Somogy,Barcsi,12237,7570
219,Bárdudvarnok,község,Somogy,Kaposvári,1209,7478
220,Barlahida,község,Zala,Lenti,169,8948
221,Bárna,község,Nógrád,Salgótarjáni,1144,3126
222,Barnag,község,Veszprém,Veszprémi,101,8291
223,Bársonyos,község,Komárom-Esztergom,Kisbéri,835,2883
224,Basal,község,Baranya,Szigetvári,206,7922
225,Baskó,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,232,3881
226,Báta,község,Tolna,Szekszárdi,1927,7149
227,Bátaapáti,község,Tolna,Bonyhádi,441,7164
228,Bátaszék,város,Tolna,Szekszárdi,6894,7140
229,Baté,község,Somogy,Kaposvári,859,7258
230,Bátmonostor,község,Bács-Kiskun,Bajai,1688,6528
231,Bátonyterenye,város,Nógrád,Bátonyterenyei,14402,3070
232,Bátor,község,Heves,Bélapátfalvai,2732,3336
233,Bátorliget,község,Szabolcs-Szatmár-Bereg,Nyírbátori,833,4343
234,Battonya,város,Békés,Mezőkovácsházi,6755,5830
235,Bátya,község,Bács-Kiskun,Kalocsai,2210,6351
236,Batyk,község,Zala,Zalaszentgróti,415,8797
237,Bázakerettye,község,Zala,Letenyei,1001,8887
238,Bazsi,község,Veszprém,Sümegi,465,8352
239,Béb,község,Veszprém,Pápai,248,8565
240,Becsehely,község,Zala,Letenyei,2290,8866
241,Becske,község,Nógrád,Balassagyarmati,626,2693
242,Becskeháza,község,Borsod-Abaúj-Zemplén,Edelényi,50,3768
243,Becsvölgye,község,Zala,Zalaegerszegi,866,8985
244,Bedegkér,község,Somogy,Tabi,533,8666
245,Bedő,község,Hajdú-Bihar,Berettyóújfalui,307,4128
246,Bejcgyertyános,község,Vas,Sárvári,514,9683
247,Békás,község,Veszprém,Pápai,221,8515
248,Bekecs,község,Borsod-Abaúj-Zemplén,Szerencsi,2501,3903
249,Békés,város,Békés,Békési,21544,5630
250,Békéscsaba,"mszékh., m.jog",Békés,Békéscsabai,66377,5600
251,Békéssámson,község,Békés,Orosházi,2627,5946
252,Békésszentandrás,nagyközség,Békés,Szarvasi,4167,5561
253,Bekölce,község,Heves,Bélapátfalvai,1377,3343
254,Bélapátfalva,város,Heves,Bélapátfalvai,3663,3346
255,Bélavár,község,Somogy,Barcsi,435,7589
256,Belecska,község,Tolna,Tamási,386,7061
257,Beled,város,Győr-Moson-Sopron,Kapuvári,2899,9343
258,Beleg,község,Somogy,Nagyatádi,703,7543
259,Belezna,község,Zala,Nagykanizsai,882,8855
260,Bélmegyer,község,Békés,Békési,1155,5643
261,Beloiannisz,község,Fejér,Adonyi,1202,2455
262,Belsősárd,község,Zala,Lenti,118,8978
263,Belvárdgyula,község,Baranya,Mohácsi,461,7747
264,Benk,község,Szabolcs-Szatmár-Bereg,Kisvárdai,491,4643
265,Bénye,község,Pest,Monori,1249,2216
266,Bér,község,Nógrád,Pásztói,452,3045
267,Bérbaltavár,község,Vas,Vasvári,562,9831
268,Bercel,község,Nógrád,Balassagyarmati,2011,2687
269,Beregdaróc,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,855,4934
270,Beregsurány,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,636,4933
271,Berekböszörmény,község,Hajdú-Bihar,Berettyóújfalui,1872,4116
272,Berekfürdő,község,Jász-Nagykun-Szolnok,Karcagi,919,5309
273,Beremend,nagyközség,Baranya,Siklósi,2815,7827
274,Berente,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,1031,3704
275,Beret,község,Borsod-Abaúj-Zemplén,Encsi,270,3834
276,Berettyóújfalu,város,Hajdú-Bihar,Berettyóújfalui,16107,4100
277,Berhida,város,Veszprém,Várpalotai,5968,8181
278,Berkenye,község,Nógrád,Rétsági,599,2641
279,Berkesd,község,Baranya,Pécsváradi,920,7664
280,Berkesz,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,955,4521
281,Bernecebaráti,község,Pest,Szobi,950,2639
282,Berzék,község,Borsod-Abaúj-Zemplén,Miskolci,1053,3575
283,Berzence,nagyközség,Somogy,Csurgói,2713,7516
284,Besence,község,Baranya,Sellyei,144,7964
285,Besenyőd,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,693,4557
286,Besenyőtelek,község,Heves,Füzesabonyi,4910,3373
287,Besenyszög,város,Jász-Nagykun-Szolnok,Szolnoki,3523,5071
288,Besnyő,község,Fejér,Adonyi,1865,2456
289,Beszterec,község,Szabolcs-Szatmár-Bereg,Ibrány–Nagyhalászi,1132,4488
290,Bezedek,község,Baranya,Mohácsi,287,7782
291,Bezenye,község,Győr-Moson-Sopron,Mosonmagyaróvári,1612,9223
292,Bezeréd,község,Zala,Zalaegerszegi,201,8934
293,Bezi,község,Győr-Moson-Sopron,Csornai,412,9162
294,Biatorbágy,város,Pest,Budaörsi,8591,2051
295,Bicsérd,község,Baranya,Szentlőrinci,985,7671
296,Bicske,város,Fejér,Bicskei,11160,2060
297,Bihardancsháza,község,Hajdú-Bihar,Püspökladányi,219,4175
298,Biharkeresztes,város,Hajdú-Bihar,Berettyóújfalui,4227,4110
299,Biharnagybajom,község,Hajdú-Bihar,Püspökladányi,2999,4172
300,Bihartorda,község,Hajdú-Bihar,Püspökladányi,982,4174
301,Biharugra,község,Békés,Sarkadi,1071,5538
302,Bikács,község,Tolna,Paksi,490,7043
303,Bikal,község,Baranya,Sásdi,876,7346
304,Biri,község,Szabolcs-Szatmár-Bereg,Nagykállói,1411,4235
305,Birján,község,Baranya,Pécsi,444,7747
306,Bisse,község,Baranya,Siklósi,249,7811
307,Boba,község,Vas,Celldömölki,846,9542
308,Bocfölde,község,Zala,Zalaegerszegi,1046,8943
309,Boconád,község,Heves,Hevesi,2955,3368
310,Bócsa,község,Bács-Kiskun,Kiskőrösi,1846,6235
311,Bocska,község,Zala,Nagykanizsai,364,8776
312,Bocskaikert,község,Hajdú-Bihar,Hajdúhadházi,2637,4241
313,Boda,község,Baranya,Szentlőrinci,425,7672
314,Bodajk,város,Fejér,Móri,4103,8053
315,Bodmér,község,Fejér,Bicskei,215,8080
316,Bodolyabér,község,Baranya,Komlói,307,7394
317,Bodonhely,község,Győr-Moson-Sopron,Téti,333,9134
318,Bodony,község,Heves,Pétervásárai,2896,3243
319,Bodorfa,község,Veszprém,Sümegi,140,8471
320,Bodrog,község,Somogy,Kaposvári,475,7439
321,Bodroghalom,község,Borsod-Abaúj-Zemplén,Bodrogközi,1377,3987
322,Bodrogkeresztúr,község,Borsod-Abaúj-Zemplén,Tokaji,1325,3916
323,Bodrogkisfalud,község,Borsod-Abaúj-Zemplén,Tokaji,989,3917
324,Bodrogolaszi,község,Borsod-Abaúj-Zemplén,Sárospataki,972,3943
325,Bódvalenke,község,Borsod-Abaúj-Zemplén,Edelényi,194,3768
326,Bódvarákó,község,Borsod-Abaúj-Zemplén,Edelényi,154,3764
327,Bódvaszilas,község,Borsod-Abaúj-Zemplén,Edelényi,1234,3763
328,Bogács,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,2120,3412
329,Bogád,község,Baranya,Pécsi,842,7742
330,Bogádmindszent,község,Baranya,Sellyei,438,7836
331,Bogdása,község,Baranya,Sellyei,339,7966
332,Bogyiszló,község,Tolna,Szekszárdi,2365,7132
333,Bogyoszló,község,Győr-Moson-Sopron,Csornai,635,9324
334,Bojt,község,Hajdú-Bihar,Berettyóújfalui,567,4114
335,Bókaháza,község,Zala,Keszthely–Hévízi,341,8741
336,Bokod,község,Komárom-Esztergom,Oroszlányi,2270,2855
337,Bokor,község,Nógrád,Pásztói,136,3066
338,Boldog,község,Heves,Hatvani,2674,3016
339,Boldogasszonyfa,község,Baranya,Szigetvári,501,7937
340,Boldogkőújfalu,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,564,3884
341,Boldogkőváralja,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,1170,3885
342,Boldva,község,Borsod-Abaúj-Zemplén,Edelényi,2481,3794
343,Bolhás,község,Somogy,Nagyatádi,486,7517
344,Bolhó,község,Somogy,Barcsi,820,7586
345,Bóly,város,Baranya,Mohácsi,3770,7754
346,Boncodfölde,község,Zala,Zalaegerszegi,244,8992
347,Bonyhád,város,Tolna,Bonyhádi,14176,7150
348,Bonyhádvarasd,község,Tolna,Bonyhádi,497,7158
349,Bonnya,község,Somogy,Tabi,325,7281
350,Bordány,nagyközség,Csongrád,Mórahalmi,3182,6795
351,Borgáta,község,Vas,Celldömölki,159,9554
352,Borjád,község,Baranya,Mohácsi,449,7756
353,Borota,község,Bács-Kiskun,Jánoshalmi,1599,6445
354,Borsfa,község,Zala,Letenyei,768,8885
355,Borsodbóta,község,Borsod-Abaúj-Zemplén,Ózdi,951,3658
356,Borsodgeszt,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,303,3426
357,Borsodivánka,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,751,3462
358,Borsodnádasd,város,Borsod-Abaúj-Zemplén,Ózdi,3573,3671
359,Borsodszentgyörgy,község,Borsod-Abaúj-Zemplén,Ózdi,1361,3623
360,Borsodszirák,község,Borsod-Abaúj-Zemplén,Edelényi,1214,3796
361,Borsosberény,község,Nógrád,Rétsági,1040,2644
362,Borszörcsök,község,Veszprém,Ajkai,405,8479
363,Borzavár,község,Veszprém,Zirci,792,8428
364,Bosta,község,Baranya,Pécsi,143,7811
365,Botpalád,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,601,4955
366,Botykapeterd,község,Baranya,Szigetvári,368,7900
367,Bozzai,község,Vas,Szombathelyi,307,9752
368,Bozsok,község,Vas,Kőszegi,381,9727
369,Bózsva,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,224,3994
370,Bő,község,Vas,Csepregi,684,9625
371,Bőcs,község,Borsod-Abaúj-Zemplén,Miskolci,2763,3574
372,Böde,község,Zala,Zalaegerszegi,301,8991
373,Bödeháza,község,Zala,Lenti,89,8969
374,Bögöt,község,Vas,Sárvári,391,9612
375,Bögöte,község,Vas,Sárvári,339,9675
376,Böhönye,község,Somogy,Marcali,2521,8719
377,Bököny,község,Szabolcs-Szatmár-Bereg,Nagykállói,3275,4231
378,Bölcske,község,Tolna,Paksi,2984,7025
379,Bőny,község,Győr-Moson-Sopron,Győri,2229,9073
380,Börcs,község,Győr-Moson-Sopron,Győri,1040,9152
381,Börzönce,község,Zala,Nagykanizsai,69,8772
382,Bősárkány,nagyközség,Győr-Moson-Sopron,Csornai,2199,9167
383,Bőszénfa,község,Somogy,Kaposvári,606,7475
384,Bucsa,község,Békés,Szeghalmi,2549,5527
385,Bucsu,község,Vas,Szombathelyi,600,9792
386,Búcsúszentlászló,község,Zala,Zalaegerszegi,886,8925
387,Bucsuta,község,Zala,Letenyei,267,8893
388,Budajenő,község,Pest,Pilisvörösvári,1380,2093
389,Budakalász,város,Pest,Szentendrei,9507,2011
390,Budakeszi,város,Pest,Pilisvörösvári,12924,2092
391,Budaörs,város,Pest,Budaörsi,24586,2040
392,Budapest,főváros,Budapest,Budapesti,1695000,1000
416,Bugac,nagyközség,Bács-Kiskun,Kiskunfélegyházi,3108,6114
417,Bugacpusztaháza,község,Bács-Kiskun,Kiskunfélegyházi,353,6114
418,Bugyi,nagyközség,Pest,Gyáli,5272,2347
419,Buj,község,Szabolcs-Szatmár-Bereg,Ibrány–Nagyhalászi,2456,4483
420,Buják,község,Nógrád,Pásztói,2386,3047
421,Buzsák,község,Somogy,Lengyeltóti,1451,8695
422,Bük,város,Vas,Csepregi,3213,9737
423,Bükkábrány,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,1683,3422
424,Bükkaranyos,község,Borsod-Abaúj-Zemplén,Miskolci,1445,3554
425,Bükkmogyorósd,község,Borsod-Abaúj-Zemplén,Ózdi,174,3648
426,Bükkösd,község,Baranya,Szentlőrinci,1308,7682
427,Bükkszék,község,Heves,Pétervásárai,1530,3335
428,Bükkszenterzsébet,község,Heves,Pétervásárai,2486,3257
429,Bükkszentkereszt,község,Borsod-Abaúj-Zemplén,Miskolci,1265,3557
430,Bükkszentmárton,község,Heves,Bélapátfalvai,826,3346
431,Bükkzsérc,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,1091,3414
432,Bürüs,község,Baranya,Szigetvári,103,7973
433,Büssü,község,Somogy,Kaposvári,442,7273
434,Büttös,község,Borsod-Abaúj-Zemplén,Encsi,235,3821
435,Cák,község,Vas,Kőszegi,267,9725
436,Cakóháza,község,Győr-Moson-Sopron,Csornai,62,9165
437,Cece,nagyközség,Fejér,Sárbogárdi,2806,7013
438,Cégénydányád,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,735,4732
439,Cegléd,város,Pest,Ceglédi,38048,2700
440,Ceglédbercel,község,Pest,Ceglédi,4548,2737
441,Celldömölk,város,Vas,Celldömölki,11553,9500
442,Cered,község,Nógrád,Salgótarjáni,1246,3123
443,Chernelházadamonya,község,Vas,Csepregi,218,9624
444,Cibakháza,nagyközség,Jász-Nagykun-Szolnok,Kunszentmártoni,4641,5462
445,Cigánd,város,Borsod-Abaúj-Zemplén,Bodrogközi,3225,3973
446,Cikó,község,Tolna,Bonyhádi,968,7161
447,Cirák,község,Győr-Moson-Sopron,Kapuvári,644,9364
448,Cún,község,Baranya,Siklósi,258,7843
449,Csabacsűd,nagyközség,Békés,Szarvasi,2102,5551
450,Csabaszabadi,község,Békés,Békéscsabai,366,5609
451,Csabdi,község,Fejér,Bicskei,1162,2064
452,Csabrendek,nagyközség,Veszprém,Sümegi,3011,8474
453,Csáfordjánosfa,község,Győr-Moson-Sopron,Sopron–Fertődi,246,9375
454,Csaholc,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,527,4967
